parcela,dia,pendiente dia -15,pendiente dia -10,pendiente dia -5,ndvi,recogido,tmed,prec,precSum3,estacion,pres,estacionPres
22_27_0_1_510_80_1,298,0.0013507822297656,0.0010610271588962,0.0006888668880592,0.1615767400112922,0,17.8,0.0,0.0,9898,958.4,9898
22_27_0_1_510_80_1,299,0.0012530392360115,0.000915493665982,0.0005598720982481,0.161261603655384,0,17.9,0.0,0.0,9898,957.2,9898
22_27_0_1_510_80_1,300,0.0011378973793729,0.000776558498209,0.0004375042270781,0.1610555813333633,0,19.6,0.0,0.0,9898,959.05,9898
22_27_0_1_510_80_1,301,0.0010109301027217,0.0006442502490773,0.0003217632745494,0.1609520461265889,0,22.0,0.0,0.0,9898,957.45,9898
22_27_0_1_510_80_1,302,0.0008777756206465,0.0005185689185867,0.0002126492406619,0.1609443711164196,0,22.2,0.0,0.0,9898,953.05,9898
22_27_0_1_510_80_1,303,0.000744072147736,0.0003995145067374,0.0001101621254156,0.1610259293842141,0,19.0,0.0,0.0,9898,947.55,9898
22_27_0_1_510_80_1,304,0.0006150964202582,0.0002870870135293,1.4301928810522837e-05,0.1611900940113314,0,16.4,0.0,0.0,9898,944.25,9898
22_27_0_1_510_80_1,305,0.0004927285490882,0.0001812864389624,-7.493134915335653e-05,0.1614302380791301,0,17.2,14.4,14.4,9898,945.75,9898
22_27_0_1_510_80_1,306,0.0003769875965595,8.211278303671132e-05,-0.000157537708476,0.161739734668969,0,15.9,0.0,14.4,9898,945.8,9898
22_27_0_1_510_80_1,307,0.000267873562672,-1.0433954247768272e-05,-0.0002335171491574,0.1621119568622069,0,16.1,0.0,14.4,9898,944.3,9898
22_27_0_1_510_80_1,308,0.0001653864474257,-9.63537728910474e-05,-0.0003028696711977,0.1625402777402027,1,12.8,4.6,4.6,9898,942.15,9898
22_27_0_1_510_80_1,309,6.952625082063402e-05,-0.0001756466728931,-0.0003655952745967,0.1630180703843151,1,9.8,0.0,4.6,9898,948.25,9898
22_27_0_1_510_80_1,310,-1.97070271432472e-05,-0.0002483126542539,-0.0004216939593545,0.1635387078759029,1,11.1,0.0,4.6,9898,955.2,9898
22_27_0_1_510_80_1,311,-0.0001023133864659,-0.0003143517169735,-0.0004711657254711,0.1640955632963248,1,11.4,0.0,0.0,9898,958.2,9898
22_27_0_1_510_80_1,312,-0.0001782928271473,-0.000373763861052,-0.0005140105729465,0.1646820097269397,1,13.8,0.0,0.0,9898,955.05,9898
22_27_0_1_510_80_1,313,-0.0002476453491876,-0.0004265490864892,-0.0005502285017807,0.1652914202491063,0,14.4,1.0,1.0,9898,951.2,9898
22_27_0_1_510_80_1,314,-0.0003103709525866,-0.0004727073932852,-0.0005798195119737,0.1659171679441836,0,12.8,0.0,1.0,9898,953.9000000000001,9898
22_27_0_1_510_80_1,315,-0.0003664696373444,-0.0005122387814399,-0.0006027836035254,0.16655262589353,0,11.5,0.0,1.0,9898,952.95,9898
22_27_0_1_510_80_1,316,-0.000415941403461,-0.0005451432509535,-0.0006191207764359,0.1671911671785047,0,14.2,6.6,6.6,9898,953.8499999999999,9898
22_27_0_1_510_80_1,317,-0.0004587862509364,-0.0005714208018259,-0.0006288310307053,0.1678261648804662,0,13.6,1.2,7.8,9898,952.9000000000001,9898
22_27_0_1_534_4_1,340,7.326733428672702e-05,-0.0002092924009994,-0.0003966960478016,0.182218876842348,0,4.0,0.8,0.8,9898,950.3,9898
22_27_0_1_534_4_1,341,-2.453158567031396e-05,-0.0002785444944113,-0.0004374013146684,0.1827148512295137,0,9.3,0.4,1.2000000000000002,9898,953.7,9898
22_27_0_1_534_4_1,342,-0.0001109117750092,-0.0003363778572051,-0.000466687850917,0.1832172746916918,0,7.2,0.0,1.2000000000000002,9898,949.0999999999999,9898
22_27_0_1_534_4_1,343,-0.0001858732337301,-0.0003827924893808,-0.0004845556565475,0.1837147284982643,0,7.1,10.2,10.6,9898,945.25,9898
22_27_0_1_534_4_1,344,-0.000249415961833,-0.0004177883909384,-0.00049100473156,0.1841957939186131,0,11.0,1.8,12.0,9898,949.1,9898
22_27_0_1_534_4_1,345,-0.0003015399593177,-0.000441365561878,-0.0004860350759544,0.1846490522221204,0,4.2,0.0,12.0,9898,946.75,9898
22_27_0_1_534_4_1,346,-0.0003422452261844,-0.0004535240021996,-0.0004696466897308,0.1850630846781677,0,1.4,0.8,2.6,9898,952.75,9898
22_27_0_1_534_4_1,347,-0.0003715317624331,-0.000454263711903,-0.0004418395728891,0.1854264725561373,0,3.8,24.2,25.0,9898,959.6500000000001,9898
22_27_0_1_534_4_1,348,-0.0003894297735125,-0.0004436299991617,-0.0004027043417758,0.1857282502071436,0,7.7,7.4,32.4,9898,960.75,9898
22_27_0_1_534_4_1,349,-0.0003965398144356,-0.000422523696495,-0.00035404266143,0.1859660072257632,0,11.0,4.6,36.2,9898,962.15,9898
22_27_0_1_534_4_1,350,-0.0003939712127034,-0.0003926087951542,-0.000299182514354,0.1861449647938909,1,10.4,0.2,12.2,9898,962.5,9898
22_27_0_1_534_4_1,351,-0.0003828511354366,-0.0003555760458207,-0.0002415054019107,0.1862706116877215,1,8.6,0.0,4.8,9898,964.25,9898
22_27_0_1_534_4_1,352,-0.0003643067497561,-0.0003131161991757,-0.0001843928254624,0.1863484366834497,1,6.0,0.0,0.2,9898,964.3,9898
22_27_0_1_534_4_1,353,-0.0003394652227829,-0.0002669200059006,-0.0001311356700253,0.1863839285572704,1,7.8,0.0,0.0,9898,964.3,9898
22_27_0_1_534_4_1,354,-0.0003094537216376,-0.0002186782166765,-8.331377192303812e-05,0.1863825760853784,1,8.6,0.0,0.0,9898,961.65,9898
22_27_0_1_534_4_1,355,-0.0002753994134413,-0.0001700815821848,-4.098065001552076e-05,0.1863498680439685,0,8.8,0.0,0.0,9898,956.65,9898
22_27_0_1_534_4_1,356,-0.0002384294653148,-0.0001228208531068,-4.136304302843063e-06,0.1862912932092357,0,10.8,0.0,0.0,9898,955.0,9898
22_27_0_1_534_4_1,357,-0.0001996710443788,-7.858678012372943e-05,2.721926521501716e-05,0.1862123403573746,0,11.6,0.0,0.0,9898,955.75,9898
22_27_0_1_534_4_1,358,-0.0001602513177543,-3.902480574366207e-05,5.308605853803772e-05,0.1861184982645802,0,12.0,0.0,0.0,9898,954.55,9898
22_27_0_1_534_4_1,359,-0.0001212974525622,-4.924848128398662e-06,7.34640756662408e-05,0.1860152557070472,0,11.2,0.0,0.0,9898,948.1500000000001,9898
22_27_0_1_534_6_1,340,9.134054863293254e-05,-0.0002609195887648,-0.000494551016486,0.217452446375134,0,4.0,0.8,0.8,9898,950.3,9898
22_27_0_1_534_6_1,341,-3.058291277793409e-05,-0.0003472544372727,-0.0005452972520908,0.2180707652081123,0,9.3,0.4,1.2000000000000002,9898,953.7,9898
22_27_0_1_534_6_1,342,-0.0001382709290275,-0.0004193538406194,-0.0005818080425345,0.2186971239412117,0,7.2,0.0,1.2000000000000002,9898,949.0999999999999,9898
22_27_0_1_534_6_1,343,-0.000231723500116,-0.0004772177988048,-0.000604083387817,0.2193172871292713,0,7.1,10.2,10.6,9898,945.25,9898
22_27_0_1_534_6_1,344,-0.0003109406260433,-0.0005208463118291,-0.0006121232879382,0.2199170193271295,0,11.0,1.8,12.0,9898,949.1,9898
22_27_0_1_534_6_1,345,-0.0003759223068093,-0.0005502393796921,-0.0006059277428983,0.2204820850896256,0,4.2,0.0,12.0,9898,946.75,9898
