,parcela,dia,pendiente dia -15,pendiente dia -10,pendiente dia -5,ndvi,recogido,tmed,prec,precSum3,estacion,pres,estacionPres
0,22_27_0_1_503_5017_1,292,0.0130779638540851,0.0085822331293552,-0.0022356606773746,0.4565873916176525,0,17.4,0.0,0.0,9898,959.5,9898
1,22_27_0_1_503_5017_1,293,0.0110389246478713,0.0050807509768359,-0.0060424696588835,0.4677616319657296,0,18.0,0.0,0.0,9898,961.3499999999999,9898
2,22_27_0_1_503_5017_1,294,0.0089060433822232,0.0017225258836952,-0.0086173261079386,0.478747600637521,0,17.6,0.0,0.0,9898,957.0,9898
3,22_27_0_1_503_5017_1,295,0.0067565457879423,-0.0013035490035442,-0.0098994303497354,0.4886322943708163,0,15.5,0.0,0.0,9898,953.3499999999999,9898
4,22_27_0_1_503_5017_1,296,0.0046522020088041,-0.0038318740150941,-0.0100315444376289,0.4967356446707464,0,13.7,0.0,0.0,9898,955.45,9898
5,22_27_0_1_503_5017_1,297,0.0026686677758939,-0.0056970618042016,-0.0091584629310286,0.5023797062727956,0,11.4,0.0,0.0,9898,957.45,9898
6,22_27_0_1_503_5017_1,298,0.000912173854776,-0.0067337250241137,-0.0074249803893438,0.5048865339124488,0,12.8,0.0,0.0,9898,958.4,9898
7,22_27_0_1_503_5017_1,299,-0.0005138859127585,-0.0068020178068023,-0.004986709505666,0.5036811481658515,0,13.2,0.0,0.0,9898,957.2,9898
8,22_27_0_1_503_5017_1,300,-0.0015653626093425,-0.0059942100853373,-0.0020889898209391,0.4990772434755123,0,13.0,0.0,0.0,9898,959.05,9898
9,22_27_0_1_503_5017_1,301,-0.0022284012127398,-0.0045265000228301,0.0009785443919686,0.4918429227109029,0,13.0,0.0,0.0,9898,957.45,9898
10,22_27_0_1_503_5017_1,302,-0.0024893908364449,-0.00261625591598,0.0039259510990684,0.4827499507774533,1,13.6,0.2,0.2,9898,953.05,9898
11,22_27_0_1_503_5017_1,303,-0.0023347205939522,-0.0004808460614865,0.0064632882663707,0.472570092580595,1,12.4,26.6,26.8,9898,947.55,9898
12,22_27_0_1_503_5017_1,304,-0.001760942861862,0.0016672487611763,0.0083212070280187,0.4620751130257577,1,14.0,1.4,28.2,9898,944.25,9898
13,22_27_0_1_503_5017_1,305,-0.0008601089597488,0.0036595517352444,0.0094080932914281,0.4520367770183716,1,17.0,9.2,37.2,9898,945.75,9898
14,22_27_0_1_503_5017_1,306,0.0002237240952743,0.005351358361726,0.0097241723314833,0.4432220610534863,1,12.1,0.0,10.6,9898,945.8,9898
15,22_27_0_1_503_5017_1,307,0.0013774863699266,0.0066454610204042,0.0093649709417399,0.4359250960687534,0,10.8,2.6,11.799999999999999,9898,944.3,9898
16,22_27_0_1_503_5017_1,308,0.0025458392723473,0.0075312491031929,0.0085992099400151,0.4295740428805191,0,8.0,0.0,2.6,9898,942.15,9898
17,22_27_0_1_503_5017_1,309,0.0036828729390975,0.0080176641614793,0.0077141212949399,0.4235045065510582,0,8.0,0.0,2.6,9898,948.25,9898
18,22_27_0_1_503_5017_1,310,0.004772013481878,0.0082025151332866,0.006996936975145,0.4170520921426462,0,8.4,0.4,0.4,9898,955.2,9898
19,22_27_0_1_503_5017_1,311,0.0058122159968792,0.0082290517993344,0.0067339312671856,0.4095524047175581,0,7.8,0.0,0.4,9898,958.2,9898
20,22_27_0_1_503_5019_1,292,0.0089577159406529,0.0006482071509219,-0.0056182870726858,0.4003474912730746,0,17.4,0.0,0.0,9898,959.5,9898
21,22_27_0_1_503_5019_1,293,0.0069285321392287,-0.0014508579470455,-0.0054546468208325,0.4040269388644996,0,18.0,0.0,0.0,9898,961.3499999999999,9898
22,22_27_0_1_503_5019_1,294,0.0049404530626328,-0.00285303389335,-0.0047346125334559,0.4064526965349647,0,17.6,0.0,0.0,9898,957.0,9898
23,22_27_0_1_503_5019_1,295,0.0030712189472412,-0.0035775081803946,-0.0036563241804933,0.4076165074637603,0,15.5,0.0,0.0,9898,953.3499999999999,9898
24,22_27_0_1_503_5019_1,296,0.0014102097441014,-0.003722447084417,-0.0024175008497553,0.4075101148301763,0,13.7,0.0,0.0,9898,955.45,9898
25,22_27_0_1_503_5019_1,297,4.695339791942477e-05,-0.0033869205903858,-0.0011555541080857,0.4061252618135032,0,11.4,0.0,0.0,9898,957.45,9898
26,22_27_0_1_503_5019_1,298,-0.0009290221465991,-0.0026699986832694,0.0001146494542937,0.403453691593031,0,12.8,0.0,0.0,9898,958.4,9898
27,22_27_0_1_503_5019_1,299,-0.0014392533567129,-0.0016731524084472,0.0013883077165613,0.3995111579521577,0,13.2,0.0,0.0,9898,957.2,9898
28,22_27_0_1_503_5019_1,300,-0.0015119479247317,-0.0005185757969496,0.002619172586594,0.3945206445307903,0,13.0,0.0,0.0,9898,959.05,9898
29,22_27_0_1_503_5019_1,301,-0.0012350302988462,0.00066115121127,0.0037398032722954,0.3888110984686989,0,13.0,0.0,0.0,9898,957.45,9898
30,22_27_0_1_503_5019_1,302,-0.0006970843297442,0.0017635170417265,0.0046825881915389,0.3827123208558087,1,13.6,0.2,0.2,9898,953.05,9898
31,22_27_0_1_503_5019_1,303,1.3306131886066847e-05,0.0027472826082453,0.005379915762197,0.3765541127820458,1,12.4,26.6,26.8,9898,947.55,9898
32,22_27_0_1_503_5019_1,304,0.0008075572353566,0.0035786421197629,0.0057689765229644,0.3706662753373355,1,14.0,1.4,28.2,9898,944.25,9898
33,22_27_0_1_503_5019_1,305,0.0015970851299793,0.0042237897852157,0.0058284069838374,0.3653786096116029,1,17.0,9.2,37.2,9898,945.75,9898
34,22_27_0_1_503_5019_1,306,0.0022936548820355,0.004649232747931,0.0055586622235665,0.3610177873508661,1,12.1,0.0,10.6,9898,945.8,9898
35,22_27_0_1_503_5019_1,307,0.0028497351445758,0.0048523797709065,0.0050221713502742,0.3576014641044372,0,10.8,2.6,11.799999999999999,9898,944.3,9898
36,22_27_0_1_503_5019_1,308,0.0032963717471393,0.0048872328935621,0.0043945500249273,0.3545813626574093,0,8.0,0.0,2.6,9898,942.15,9898
37,22_27_0_1_503_5019_1,309,0.0036735985467243,0.0048162439618058,0.0038635114006472,0.3513487183340991,0,8.0,0.0,2.6,9898,948.25,9898
38,22_27_0_1_503_5019_1,310,0.0040214494003291,0.0047225878071966,0.0036167686305558,0.3472947664588237,0,8.4,0.4,0.4,9898,955.2,9898
39,22_27_0_1_503_5019_1,311,0.0043799581649517,0.0047000356112799,0.0038414089989933,0.3418107423558995,0,7.8,0.0,0.4,9898,958.2,9898
40,22_27_0_1_503_5560_8,292,0.0093589629322294,0.0073218144077218,0.0060732906276272,0.539704042823047,0,17.4,0.0,0.0,9898,959.5,9898
41,22_27_0_1_503_5560_8,293,0.008872315136814,0.0069087143899987,0.0062344714171776,0.5328396057160615,0,18.0,0.0,0.0,9898,961.3499999999999,9898
42,22_27_0_1_503_5560_8,294,0.0084030359689313,0.0066526578119796,0.0064843732416627,0.5257727550782342,0,17.6,0.0,0.0,9898,957.0,9898
43,22_27_0_1_503_5560_8,295,0.0079659139203756,0.0065325910425724,0.0067460401362956,0.5186276619438828,0,15.5,0.0,0.0,9898,953.3499999999999,9898
44,22_27_0_1_503_5560_8,296,0.0075693133587435,0.0065102332206537,0.0069426796035094,0.5115284973473255,0,13.7,0.0,0.0,9898,955.45,9898
45,22_27_0_1_503_5560_8,297,0.0072215169718256,0.0065471063638302,0.0070209221000332,0.5045994323228805,0,11.4,0.0,0.0,9898,957.45,9898
